favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
1,Twitter for Websites,Apache stays strong in Egypt: http://t.co/ypVkGkLAAV #ApacheCorp,,False,Mon Jun 30 14:21:13 +0000 2014,3,483616247687311360
3,Hootsuite,#ICYMI click here for the replay of #ApacheCorp 's North Sea Update $APA https://t.co/dbwUF5KCkX,,False,Wed Dec 02 21:44:05 +0000 2015,2,672169387844091904
5,Twitter Web Client,"Apache Tree Grant Program is now accepting applications for free #trees. If you're a nonprofit in Louisiana, New Me… https://t.co/ztrXhpNXfL",,False,Tue Jun 19 12:44:33 +0000 2018,3,1009054325363150848
1,TweetDeck,"Apache announces three new oil and gas discoveries in Egypt's Western Desert http://t.co/rGGQ3UD0dy 
#ApacheCorp $APA",,False,Tue May 07 13:56:53 +0000 2013,4,331769610460360704
5,Hootsuite,Celebrating 40 years of Forties today! https://t.co/SusVyPNJwo,,False,Tue Nov 03 17:00:59 +0000 2015,1,661588899379154944
1,StockTwits Web,#ApacheCorp has released its 2016 Sustainability Report. The report is available at https://t.co/SNQtRQAnsr. $APA,,False,Tue Oct 25 13:08:38 +0000 2016,5,790902893331279872
1,SumAll,"My week on twitter: 53 New Followers, 17 Mentions, 72.6K Mention Reach, 4 Retweets, 472 Retweet Reach. via http://t.co/dIeog4TBVm",,False,Tue Feb 18 18:28:59 +0000 2014,1,435843403587534848
19,Twitter Web Client,We are at Texas Energy Day with @TXOGA at the state Capitol today to talk with the #txlege about the important role… https://t.co/SKzJZupGCn,,False,Wed Feb 20 18:15:47 +0000 2019,5,1098285100842782720
4,Twitter Web Client,"We are partnering with @mcdonaldobs, @PBPA and @TXOGA to continue to help protect the dark skies in West Texas! Che… https://t.co/NEr2w70wsL",,False,Fri Jul 13 13:28:32 +0000 2018,0,1017762703518158848
0,TweetDeck,RT @ApacheCorp: Apache partners with Stripes® to offer natural gas fueling at West Texas locations  http://t.co/folqSSmr #CNG,,False,Tue Nov 27 16:05:09 +0000 2012,1,273457443562995712
1,StockTwits Web,"#ApacheCorp to release fourth-quarter, full-year 2015 results Feb. 25. Listen to the webcast at 1 p.m. CT.  https://t.co/lP7pF1VwnX $APA",,False,Mon Jan 25 22:26:41 +0000 2016,2,691749057081946113
1,TweetDeck,"Apache production surges 25% in first quarter to 732,000 Boe per day. Webcast at 1 p.m. CDT  http://bit.ly/a6q7Ra",,False,Thu Apr 28 12:34:55 +0000 2011,0,63581960928378880
